Gross_Sale_By_Rev_Class
i_revenue_class,s_class_name,Net,Gross,Qty,b_non_sales
16,Sandwiches,6995.8400,7053.8100,1199,False
17,Beverages,16123.8900,16217.9100,8560,False
18,Breakfast Platters,20870.6200,20902.0700,2610,False
19,Breakfast Sandwiches,24373.0000,24664.4500,4435,False
22,Desserts,2119.5300,2135.8700,1424,False
30,Sides,645.7500,647.1000,322,False
31,Breakfast Sides,4319.4200,4350.2600,1641,False
32,Subs,10129.2000,10197.8500,1327,False
33,Dine In/To Go,0.0000,0.0000,2,False
35,Bag Tax,0.1500,0.1500,3,False
36,Korean Dish,34482.1100,34690.9200,3849,False

Transactions_By_Tender_Type
range_type_id,range_type_name,count,type,total
1,Tickets and Transactions,226,Amex,3825.4800
1,Tickets and Transactions,5897,cash,55822.1200
1,Tickets and Transactions,90,Discover,1181.2900
1,Tickets and Transactions,2,Ext Credit,15.8800
1,Tickets and Transactions,1348,MasterCard,17341.3000
1,Tickets and Transactions,3606,VISA,49080.7900

Voids_By_Type
reason,voids,void_value
Server Mistake,7,50.3900
Training,273,1664.3700
Wrong Item,8,53.6100

All_Discounts
auto_manual,type,discounts,discount_value
0,10%,877,800.8800

Net_Sales_By_Day_Part
dayPartName,dayPartOrdinal,Net,b_non_sales
All Day                                           ,1,120059.5100,False

Cash_Deposit
id,cash_in,cash_out,cash_total,tip_due_total,change_total,tip_chargeback,check_total,cash_over_under,donations
1,0.0000,0.0000,55822.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000

Net_Income_By_Rev_Class
i_revenue_class,s_class_name,Net,Qty,b_non_sales
16,Sandwiches,6995.8400,1199,False
17,Beverages,16123.8900,8560,False
18,Breakfast Platters,20870.6200,2610,False
19,Breakfast Sandwiches,24373.0000,4435,False
22,Desserts,2119.5300,1424,False
30,Sides,645.7500,322,False
31,Breakfast Sides,4319.4200,1641,False
32,Subs,10129.2000,1327,False
33,Dine In/To Go,0.0000,2,False
35,Bag Tax,0.1500,3,False
36,Korean Dish,34482.1100,3849,False

Taxes
tax_name,tax_amount
TAX,7207.3500

Tips
auto_grat_type,auto_grat_count,auto_grat_amount
auto gratuities,0,0.0000
manual gratuities,0,0.0000
tips,0,0.0000

RFO_Totals
id,chargeback,total_transactions,total_plus_tip_reduction,tax_total,tips_total,net_total,net_revenue_total,net_non_revenue_total,net_with_tax,total_receipts,auto_discounts,manual_discounts,total_discounts,auto_discounts_count,manual_discounts_count,total_discounts_count,gross_total_non_sales,gross_total_sales,gross_total,include_auto_discounts_in_gross,donations,surcharges
1,0.0000,127266.8600,127266.8600,7207.3500,0.0000,120059.5100,120059.5100,0.0000,127266.8600,127266.8600,0.0000,800.8800,800.8800,0,877,877,0.0000,120860.3900,120860.3900,False,0.0000,0.0000

RFO_Summary
id,gross_total,net_total,headcount,total_pay,open_tickets,open_total,tips_total,closed_tickets,tips_percent_net,labor_percentage,tips_percent_gross,net_per_head,gross_per_head,net_per_ticket,gross_per_ticket,rfo_hook_name_1,rfo_hook_value_1,rfo_hook_name_2,rfo_hook_value_2,rfo_hook_name_3,rfo_hook_value_3
1,0.0000,0.0000,0,0.0000,0,0.0000,0.0000,0,,,,,,,,,,,,,

RFO_Labor_Summary
labor_job_name,labor_jobgroup,labor_adjusted_tips,labor_captured_tips,labor_total_tips,labor_reg_hours,labor_OT_Hours,labor_total_hours,labor_reg_pay,labor_OT_Pay,labor_total_Pay,labor_net_sales,labor_net_sales_sale,labor_net_non_sales_sale,labor_job_group

Net_Sales_By_Revenue_Center
revcent_id,revcent_name,revcent_ordinal,HeadCount,Net
0,Unassigned Revenue,1,11148,120059.5100

Donations
donation_name,c_donation_amount

Surcharges
s_surcharge_name,c_surcharge_amount

